"L: 0.1"
"e0: 5"
"t: 5"
"Number of Energies: 400"
"Number of Phases: 400"
"Threshold: 0.01"
"phase","energy"
2.0891591146372126,0.43
2.1048670779051615,0.42
2.1048670779051615,0.4225
2.1048670779051615,0.425
2.1205750411731104,0.415
2.1205750411731104,0.4175
2.1205750411731104,0.42
2.1362830044410597,0.4075
2.1362830044410597,0.41
2.1362830044410597,0.4125
2.1519909677090086,0.4025
2.1519909677090086,0.405
2.1519909677090086,0.4075
2.167698930976957,0.395
2.167698930976957,0.3975
2.167698930976957,0.4
2.183406894244906,0.39
2.183406894244906,0.3925
2.183406894244906,0.395
2.199114857512855,0.3825
2.199114857512855,0.385
2.199114857512855,0.3875
2.214822820780804,0.3775
2.214822820780804,0.38
2.214822820780804,0.3825
2.230530784048753,0.37
2.230530784048753,0.3725
2.230530784048753,0.375
2.246238747316702,0.365
2.246238747316702,0.3675
2.246238747316702,0.37
2.261946710584651,0.3575
2.261946710584651,0.36
2.261946710584651,0.3625
2.261946710584651,0.365
2.2776546738526,0.3525
2.2776546738526,0.355
2.2776546738526,0.3575
2.293362637120549,0.345
2.293362637120549,0.3475
2.293362637120549,0.35
2.293362637120549,0.3525
2.3090706003884978,0.34
2.3090706003884978,0.3425
2.3090706003884978,0.345
2.324778563656447,0.3325
2.324778563656447,0.335
2.324778563656447,0.3375
2.324778563656447,0.34
2.340486526924396,0.3275
2.340486526924396,0.33
2.340486526924396,0.3325
2.356194490192345,0.32
2.356194490192345,0.3225
2.356194490192345,0.325
2.356194490192345,0.3275
2.3719024534602937,0.315
2.3719024534602937,0.3175
2.3719024534602937,0.32
2.3876104167282426,0.3075
2.3876104167282426,0.31
2.3876104167282426,0.3125
2.3876104167282426,0.315
2.403318379996192,0.3025
2.403318379996192,0.305
2.403318379996192,0.3075
2.419026343264141,0.295
2.419026343264141,0.2975
2.419026343264141,0.3
2.419026343264141,0.3025
2.4347343065320897,0.29
2.4347343065320897,0.2925
2.4347343065320897,0.295
2.4504422698000385,0.2825
2.4504422698000385,0.285
2.4504422698000385,0.2875
2.466150233067988,0.2775
2.466150233067988,0.28
2.466150233067988,0.2825
2.4818581963359367,0.27
2.4818581963359367,0.2725
2.4818581963359367,0.275
2.4975661596038856,0.265
2.4975661596038856,0.2675
2.4975661596038856,0.27
2.5132741228718345,0.2575
2.5132741228718345,0.26
2.5132741228718345,0.2625
2.528982086139784,0.2525
2.528982086139784,0.255
2.528982086139784,0.2575
2.5446900494077327,0.245
2.5446900494077327,0.2475
2.5446900494077327,0.25
2.560398012675681,0.2375
2.560398012675681,0.24
2.560398012675681,0.2425
2.560398012675681,0.245
2.57610597594363,0.2325
2.57610597594363,0.235
2.57610597594363,0.2375
2.5918139392115793,0.225
2.5918139392115793,0.2275
2.5918139392115793,0.23
2.5918139392115793,0.2325
2.607521902479528,0.22
2.607521902479528,0.2225
2.607521902479528,0.225
2.623229865747477,0.2125
2.623229865747477,0.215
2.623229865747477,0.2175
2.638937829015426,0.2075
2.638937829015426,0.21
2.638937829015426,0.2125
2.6546457922833753,0.2
2.6546457922833753,0.2025
2.6546457922833753,0.205
2.670353755551324,0.1925
2.670353755551324,0.195
2.670353755551324,0.1975
2.670353755551324,0.2
2.686061718819273,0.1875
2.686061718819273,0.19
2.686061718819273,0.1925
2.701769682087222,0.18
