"L: 0.1"
"e0: 4"
"t: 20"
"Number of Energies: 400"
"Number of Phases: 400"
"Threshold: 0.01"
"phase","energy"
0.,0.43
0.,0.43
0.015707963267948967,0.4275
0.015707963267948967,0.43
0.031415926535897934,0.425
0.031415926535897934,0.4325
0.047123889803846894,0.4225
0.047123889803846894,0.435
0.06283185307179587,0.42
0.06283185307179587,0.4375
0.07853981633974483,0.4175
0.07853981633974483,0.44
0.09424777960769379,0.4175
0.09424777960769379,0.44
0.09424777960769379,0.4425
0.10995574287564278,0.415
0.10995574287564278,0.4425
0.12566370614359174,0.4125
0.12566370614359174,0.445
0.1413716694115407,0.41
0.1413716694115407,0.4475
0.15707963267948966,0.4075
0.15707963267948966,0.45
0.17278759594743862,0.405
0.17278759594743862,0.4525
0.18849555921538758,0.405
0.18849555921538758,0.4525
0.20420352248333656,0.4025
0.20420352248333656,0.455
0.21991148575128555,0.4
0.21991148575128555,0.4575
0.23561944901923448,0.3975
0.23561944901923448,0.46
0.25132741228718347,0.395
0.25132741228718347,0.4625
0.26703537555513246,0.3925
0.26703537555513246,0.465
0.2827433388230814,0.3925
0.2827433388230814,0.465
0.2984513020910303,0.39
0.2984513020910303,0.4675
0.3141592653589793,0.3875
0.3141592653589793,0.47
0.32986722862692824,0.385
0.32986722862692824,0.4725
0.34557519189487723,0.3825
0.34557519189487723,0.475
0.3612831551628262,0.38
0.3612831551628262,0.475
0.37699111843077515,0.38
0.37699111843077515,0.4775
0.39269908169872414,0.3775
0.39269908169872414,0.48
0.4084070449666731,0.375
0.4084070449666731,0.4825
0.4241150082346221,0.3725
0.4241150082346221,0.485
0.4398229715025711,0.37
0.4398229715025711,0.4875
0.45553093477052,0.3675
0.45553093477052,0.4875
0.47123889803846897,0.365
0.47123889803846897,0.3675
0.47123889803846897,0.49
0.48694686130641796,0.365
0.48694686130641796,0.4925
0.5026548245743669,0.3625
0.5026548245743669,0.495
0.5183627878423159,0.36
0.5183627878423159,0.4975
0.5340707511102649,0.3575
0.5340707511102649,0.4975
0.5497787143782138,0.355
0.5497787143782138,0.5
0.5654866776461628,0.3525
0.5654866776461628,0.355
0.5654866776461628,0.5025
0.5811946409141118,0.3525
0.5811946409141118,0.505
0.5969026041820606,0.35
0.5969026041820606,0.5075
0.6126105674500096,0.3475
0.6126105674500096,0.5075
0.6283185307179586,0.345
0.6283185307179586,0.51
0.6440264939859075,0.3425
0.6440264939859075,0.5125
0.6597344572538565,0.34
0.6597344572538565,0.515
0.6754424205218055,0.34
0.6754424205218055,0.5175
0.6911503837897545,0.3375
0.6911503837897545,0.5175
0.6911503837897545,0.52
0.7068583470577035,0.335
0.7068583470577035,0.52
0.7225663103256524,0.3325
