"L: 0.1"
"e0: 0"
"t: 5"
"Number of Energies: 600"
"Number of Phases: 600"
"Threshold: 0.01"
"phase","energy"
0.,0.5883333333333334
0.,0.5883333333333334
0.010471975511965978,0.5866666666666667
0.010471975511965978,0.59
0.020943951023931956,0.585
0.020943951023931956,0.5916666666666667
0.020943951023931956,0.5933333333333334
0.031415926535897934,0.5833333333333334
0.031415926535897934,0.595
0.04188790204786391,0.58
0.04188790204786391,0.5966666666666667
0.05235987755982988,0.5783333333333334
0.05235987755982988,0.5983333333333334
0.06283185307179587,0.5766666666666667
0.06283185307179587,0.6
0.07330382858376185,0.575
0.07330382858376185,0.6016666666666667
0.07330382858376185,0.6033333333333334
0.08377580409572782,0.5733333333333334
0.08377580409572782,0.605
0.09424777960769379,0.57
0.09424777960769379,0.5716666666666667
0.09424777960769379,0.6066666666666667
0.10471975511965977,0.5683333333333334
0.10471975511965977,0.6083333333333333
0.11519173063162574,0.5666666666666667
0.11519173063162574,0.61
0.12566370614359174,0.565
0.12566370614359174,0.6116666666666667
0.1361356816555577,0.5633333333333334
0.1361356816555577,0.6133333333333333
0.1361356816555577,0.615
0.1466076571675237,0.56
0.1466076571675237,0.5616666666666666
0.1466076571675237,0.6166666666666667
0.15707963267948966,0.5583333333333333
0.15707963267948966,0.6183333333333333
0.16755160819145565,0.5566666666666666
0.16755160819145565,0.62
0.1780235837034216,0.555
0.1780235837034216,0.6216666666666667
0.18849555921538758,0.5533333333333333
0.18849555921538758,0.6233333333333333
0.18849555921538758,0.625
0.19896753472735357,0.55
0.19896753472735357,0.5516666666666666
0.19896753472735357,0.6266666666666667
0.20943951023931953,0.5483333333333333
0.20943951023931953,0.6283333333333333
0.21991148575128555,0.5466666666666666
0.21991148575128555,0.63
0.2303834612632515,0.545
0.2303834612632515,0.6316666666666667
0.24085543677521745,0.5433333333333333
0.24085543677521745,0.6333333333333333
0.25132741228718347,0.5416666666666666
0.25132741228718347,0.635
0.25132741228718347,0.6366666666666667
0.2617993877991494,0.5383333333333333
0.2617993877991494,0.6383333333333333
0.2722713633111154,0.5366666666666666
0.2722713633111154,0.64
0.2827433388230814,0.535
0.2827433388230814,0.6416666666666667
0.2932153143350474,0.5333333333333333
0.2932153143350474,0.6433333333333333
0.3036872898470133,0.5316666666666666
0.3036872898470133,0.645
0.3141592653589793,0.5283333333333333
0.3141592653589793,0.53
0.3141592653589793,0.6483333333333333
0.3246312408709453,0.5266666666666666
0.3246312408709453,0.65
